"002142","Advanced Control Systems doo",,
"001066","ADVANCED CONTROL SYSTEMS, INC.",,
"0012CE","Advanced Cybernetics Group",,
"E016B1","Advanced Design Technology co.,ltd.",,
"1466B7","Advanced Design Technology Pty Ltd",,
"686359","Advanced Digital Broadcast SA",,
"C477AF","Advanced Digital Broadcast SA",,
"2083F8","Advanced Digital Broadcast SA",,
"000391","Advanced Digital Broadcast, Ltd.",,
"00088F","ADVANCED DIGITAL TECHNOLOGY",,
"001C8F","Advanced Electronic Design, Inc.",,
"000B47","Advanced Energy",,
"009077","ADVANCED FIBRE COMMUNICATIONS",,
"005074","ADVANCED HI-TECH CORP.",,
"0022FE","Advanced Illumination",,
"0015B2","Advanced Industrial Computer, Inc.",,
"0080B0","ADVANCED INFORMATION",,
"00C051","ADVANCED INTEGRATION RESEARCH",,
"001FF9","Advanced Knowledge Associates",,
"00C00D","ADVANCED LOGIC RESEARCH, INC.",,
"00001A","ADVANCED MICRO DEVICES",,
"B0E97E","Advanced Micro Peripherals",,
"581D91","Advanced Mobile Telecom co.,ltd.",,
"001384","Advanced Motion Controls",,
"2046F9","Advanced Network Devices (dba:AND)",,
"90507B","Advanced PANMOBIL Systems GmbH & Co. KG",,
"00A07A","ADVANCED PERIPHERALS TECHNOLOGIES, INC.",,
"B8DAF7","Advanced Photonics, Inc.",,
"0022F5","Advanced Realtime Tracking GmbH",,
"001C5A","Advanced Relay Corporation",,
"3497FB","ADVANCED RF TECHNOLOGIES INC",,
"000218","Advanced Scientific Corp",,
"001A18","Advanced Simulation Technology inc.",,
"0026EB","Advanced Spectrum Technology Co., Ltd.",,
